,comments,sentiment
0,then I turn on the light and the radio and enjoy my Da Vinci Code.,1
1,then I turn on the light and the radio and enjoy my Da Vinci Code.i love da vinci code...,1
2,i love da vinci code...,1
3,i love da vinci code...,1
4,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...,1
5,THE DA VINCI CODE is AN AWESOME BOOK....,1
6,"Thing is, I enjoyed The Da Vinci Code",1
7,very da vinci code slash amazing race.,1
8,Hey I loved The Da Vinci Code!..,1
9,also loved the da vinci code..,1
10,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;,1
11,I do like Angels and Demons more then The Da Vinci Code.,1
12,The Da Vinci Code was a really good movie,1
13,"yeah, da vinci code is an awesome movie i liked it pretty interesting.",1
14,I really like The Da Vinci Code.,1
15,Da Vinci Code is amazing.,1
16,The Da Vinci Code was awesome...,1
17,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.",1
18,Book ( s ): I love The Da Vinci Code..,1
19,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.",1
20,I love the da vinci code...,1
21,Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...,1
22,I just read Da Vinci Code ( which was AWESOME by the way )  .,1
23,I just read Da Vinci Code ( which was AWESOME by the way )  .,1
24,I loved the Da Vinci Code!,1
25,I love reading The Da Vinci Code!!!!,1
26,"I'm telling you, the Da Vinci Code is an AWESOME book!",1
27,"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).",1
28,"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment seeing how the other side reads.",1
29,I love the Da Vinci Code.,1
30,Da Vinci code is awesome!,1
31,The Da Vinci Code is awesome.,1
32,The Da Vinci Code is SUCH an awesome book!,1
33,I LOVE THE DA VINCI CODE...,1
34,I loved The Da Vinci Code.,1
35,oh so beautiful Da Vinci Code...,1
36,i loved the da vinci code.,1
37,The Da Vinci Code is an awesome book.,1
38,Da vinci code is an awesome book.,1
39,I miss ripping acoustic music and the Da Vinci Code...,1
40,"Personally, I neither hate nor love the Da Vinci Code.",1
41,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,1
42,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.",1
43,I love The Da Vinci Code!,1
44,i LOVED the Da Vinci Code.,1
45,"But seriously, the Da Vinci Code is an awesome book.",1
46,da vinci code is awesome.,1
47,I love The Da Vinci Code.,1
48,The Da Vinci Code was fucking awesome!..,1
49,The Da Vinci Code was awesome.,1
50,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.",1
51,I loved the Da Vinci Code and the like.,1
52,Da Vinci Code-that was awesome!..,1
53,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",1
54,The Da Vinci Code is an awesome book.,1
55,Yeah the Da Vinci code is awesome....,1
56, The Da Vinci Code is awesome though.,1
57,i LOVE the da vinci code!,1
58,The Da Vinci Code is an awesome book!!!,1
59,"Aarons mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.",1
60,da vinci code is awesome!,1
61,I loved the da vinci code...,1
62,the Da Vinci Code is awesome..,1
63,I'd love to go see Da Vinci Code but probably not next week.,1
64,The Da Vinci Code was awesome.,1
65,"im sick of books right now, but i must say, da vinci code was awesome..",1
66,"finished reading the da vinci code, which is an awesome book.",1
67,that and the da vinci code is awesome so far.,1
68,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...,1
69,And Da Vinci Code is awesome.,1
70,The Da Vinci Code is awesome...,1
71,Oh oh oh and I loved The Da Vinci Code!,1
72,I love the Da Vinci code...,1
73,The Da Vinci Code is awesome.,1
74,and I love Da Vinci Code-illustrated edition is the only way to go!:)..,1
75,"I loved the Da Vinci code, and I can't wait for the movie.",1
76,i loved da vinci code recently......,1
77,Love the Da Vinci Code!(,1
78,to their right ALSO read and LOVED the Da Vinci code.,1
79,I * LOVED * Da Vinci code.I * LOVED * Da Vinci code.,1
80,and i love reading da vinci code.....,1
81,and i love Da Vinci Code too..,1
82,and i love Da Vinci Code too..,1
83,Da Vinci Code looks SO awesome...,1
84,I finished The Da Vinci Code that was an awesome book!,1
85,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons...",1
86,"I loved reading Da Vinci Code, can't wait for the movie to come out!..",1
87,I love the Da Vinci Code.,1
88,The Da Vinci Code really is an awesome book and you should all go get it.,1
89, totally love the Da Vinci Code and i CA N'T wait until the movie!,1
90,"Personally I loved The Da Vinci Code, its a great thriller.",1
91,I love the Da Vinci Code.....,1
